predicted_emotion,use_defined_emotion,original_text
relief,relief,"2 days of this month left, and I only have 400MB left on my onpeak downloads."
worry,hapiness,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
hapiness,enthusiasm,wants to hang out with friends SOON!
hapiness,neutral,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will."
love,worry,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends
relief,sadness,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
relief,sadness,People hide their behind a #fake smile.
surprise,fear,Against the assault of laughter nothing can stand. ~ Mark Twain #emotionalcourage
relief,anger," With everything , with everybody , with all this ! "
hapiness,joy,"When I fell in love with \X\"".  Overnight I felt confidence, self-esteem,    responsible and worthwhile."""
worry,fear,I was riding with a friend in his car. At a speed of 120 km/h on the snow-covered motorway I would have liked to get out.
fun,joy,One could get terribly ecstatic but that would be a dangerous thing to do . 
worry,sadness,OMG its December 5th and the windows are open at my house. Mr. Winter where are you. Jack frost is missing too. 
neutral,anger,"When you kill yourself with work and see the number of slakers wandering around, doing nothing."
relief,anger,"When someone tried to rape one of my best friends and he claimed it was her fault. He the hassled her, claimed she was loose, and threatened to sue her."
relief,sadness,"NOOOOOO, no pongan super torpe a las 9 de la mañana, entendemos que nadie lo ve, pero yo sí! y no me voy a levantar para verlo "
worry,neutral,"No problem , what class would you like to take ? "
